subject_id,model_no,profile_model_no,gender,age,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio,crotch_height,knee_height,source_profile,ground_truth_note
sizkorea_f071,F071,F071,F,48.0,166.5,90.1,35.4,103.3,89.7,109.2,29.60000000000001,,,,,,,71.4,41.8,ml/body_measurement/data/raw_test_data/F071_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f072,F072,F072,F,49.0,154.9,55.2,36.8,89.7,75.0,93.6,25.1,,,,,,,64.7,39.6,ml/body_measurement/data/raw_test_data/F072_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f073,F073,F073,F,26.0,161.7,59.7,35.4,80.1,71.0,96.0,31.700000000000003,,,,,,,73.0,41.3,ml/body_measurement/data/raw_test_data/F073_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f075,F075,F075,F,49.0,161.6,76.3,37.9,105.3,89.1,104.4,29.39999999999999,,,,,,,71.1,41.7,ml/body_measurement/data/raw_test_data/F075_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f090,F090,F090,F,34.0,157.2,49.6,32.3,85.0,66.8,90.0,30.0,,,,,,,69.5,39.5,ml/body_measurement/data/raw_test_data/F090_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f093,F093,F093,F,44.0,172.2,60.1,37.4,83.6,69.4,96.5,33.7,,,,,,,77.4,43.7,ml/body_measurement/data/raw_test_data/F093_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f098,F098,F098,F,20.0,169.0,46.7,36.5,76.0,59.5,86.5,34.0,,,,,,,76.3,42.3,ml/body_measurement/data/raw_test_data/F098_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f099,F099,F099,F,55.0,158.5,71.4,35.0,101.5,94.4,105.0,29.299999999999997,,,,,,,69.3,40.0,ml/body_measurement/data/raw_test_data/F099_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f103,F103,F103,F,53.0,162.5,76.6,37.4,101.0,90.5,105.5,27.800000000000004,,,,,,,68.2,40.4,ml/body_measurement/data/raw_test_data/F103_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f111,F111,F111,F,37.0,164.1,59.3,37.4,88.5,74.4,95.9,28.900000000000006,,,,,,,71.4,42.5,ml/body_measurement/data/raw_test_data/F111_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f115,F115,F115,F,34.0,161.4,56.8,32.7,89.1,69.2,95.0,29.099999999999994,,,,,,,68.8,39.7,ml/body_measurement/data/raw_test_data/F115_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f117,F117,F117,F,47.0,169.3,83.1,41.1,110.8,98.5,102.2,28.500000000000007,,,,,,,71.9,43.4,ml/body_measurement/data/raw_test_data/F117_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f120,F120,F120,F,27.0,160.7,52.5,35.9,87.6,68.0,88.6,32.1,,,,,,,72.5,40.4,ml/body_measurement/data/raw_test_data/F120_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f123,F123,F123,F,42.0,163.0,65.9,33.8,94.7,83.5,100.3,31.700000000000003,,,,,,,71.5,39.8,ml/body_measurement/data/raw_test_data/F123_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f125,F125,F125,F,21.0,167.3,59.3,33.9,92.1,68.0,97.1,31.699999999999996,,,,,,,75.3,43.6,ml/body_measurement/data/raw_test_data/F125_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f128,F128,F128,F,38.0,169.3,60.8,36.4,82.8,73.5,96.7,30.9,,,,,,,72.5,41.6,ml/body_measurement/data/raw_test_data/F128_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f145,F145,F145,F,49.0,160.5,62.9,36.6,95.6,77.0,100.6,29.5,,,,,,,71.7,42.2,ml/body_measurement/data/raw_test_data/F145_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f148,F148,F148,F,27.0,162.3,49.8,33.0,85.0,67.0,89.3,32.00000000000001,,,,,,,74.4,42.4,ml/body_measurement/data/raw_test_data/F148_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f153,F153,F153,F,39.0,158.1,45.3,31.3,78.5,66.2,85.3,29.4,,,,,,,70.0,40.6,ml/body_measurement/data/raw_test_data/F153_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f156,F156,F156,F,56.0,158.8,59.5,35.1,95.2,79.3,92.4,28.6,,,,,,,66.0,37.4,ml/body_measurement/data/raw_test_data/F156_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f169,F169,F169,F,28.0,157.0,70.3,32.9,100.2,86.8,104.0,29.099999999999994,,,,,,,69.1,40.0,ml/body_measurement/data/raw_test_data/F169_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f178,F178,F178,F,50.0,156.1,65.8,36.4,93.5,83.4,96.0,25.200000000000003,,,,,,,65.7,40.5,ml/body_measurement/data/raw_test_data/F178_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f187,F187,F187,F,32.0,154.3,50.4,32.2,86.4,65.9,91.7,28.1,,,,,,,66.7,38.6,ml/body_measurement/data/raw_test_data/F187_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f193,F193,F193,F,24.0,158.9,49.1,34.6,79.5,65.3,86.4,29.5,,,,,,,70.5,41.0,ml/body_measurement/data/raw_test_data/F193_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f194,F194,F194,F,39.0,170.4,54.0,36.4,82.8,71.0,91.8,32.800000000000004,,,,,,,76.2,43.4,ml/body_measurement/data/raw_test_data/F194_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f199,F199,F199,F,39.0,161.4,46.7,33.9,78.4,65.9,89.5,30.200000000000003,,,,,,,71.9,41.7,ml/body_measurement/data/raw_test_data/F199_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f203,F203,F203,F,30.0,160.3,59.6,33.3,92.2,79.4,94.0,30.799999999999997,,,,,,,71.5,40.7,ml/body_measurement/data/raw_test_data/F203_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f220,F220,F220,F,48.0,164.6,56.5,32.1,83.0,69.9,94.8,28.700000000000003,,,,,,,71.9,43.2,ml/body_measurement/data/raw_test_data/F220_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f221,F221,F221,F,24.0,161.2,48.6,34.8,82.0,67.0,89.6,32.5,,,,,,,74.5,42.0,ml/body_measurement/data/raw_test_data/F221_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f223,F223,F223,F,50.0,158.7,71.9,36.3,109.5,101.2,95.8,26.299999999999997,,,,,,,68.1,41.8,ml/body_measurement/data/raw_test_data/F223_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f226,F226,F226,F,50.0,162.9,54.7,33.3,87.0,77.5,92.6,30.200000000000003,,,,,,,72.5,42.3,ml/body_measurement/data/raw_test_data/F226_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f233,F233,F233,F,51.0,155.0,61.8,34.6,100.5,84.2,91.2,26.700000000000003,,,,,,,70.5,43.8,ml/body_measurement/data/raw_test_data/F233_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f234,F234,F234,F,22.0,152.2,47.0,33.0,79.6,62.8,91.0,29.400000000000006,,,,,,,69.7,40.3,ml/body_measurement/data/raw_test_data/F234_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f241,F241,F241,F,69.0,152.1,57.3,30.8,91.6,83.8,92.5,27.4,,,,,,,66.8,39.4,ml/body_measurement/data/raw_test_data/F241_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f246,F246,F246,F,29.0,159.6,59.9,35.8,92.3,75.5,98.4,27.799999999999997,,,,,,,66.6,38.8,ml/body_measurement/data/raw_test_data/F246_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f251,F251,F251,F,38.0,164.4,49.0,33.1,80.5,63.0,87.5,31.4,,,,,,,73.5,42.1,ml/body_measurement/data/raw_test_data/F251_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f259,F259,F259,F,61.0,161.0,71.8,32.4,106.6,94.1,100.7,26.799999999999997,,,,,,,70.5,43.7,ml/body_measurement/data/raw_test_data/F259_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f265,F265,F265,F,35.0,159.8,65.5,35.2,91.0,78.8,100.8,29.099999999999994,,,,,,,71.1,42.0,ml/body_measurement/data/raw_test_data/F265_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f268,F268,F268,F,25.0,157.6,53.5,31.6,82.5,67.5,94.3,29.0,,,,,,,68.0,39.0,ml/body_measurement/data/raw_test_data/F268_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f269,F269,F269,F,25.0,162.5,52.4,36.4,79.8,60.6,88.9,30.4,,,,,,,71.0,40.6,ml/body_measurement/data/raw_test_data/F269_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f274,F274,F274,F,34.0,169.6,53.7,33.5,78.0,69.5,91.5,32.900000000000006,,,,,,,79.7,46.8,ml/body_measurement/data/raw_test_data/F274_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f275,F275,F275,F,43.0,148.6,74.7,35.1,102.5,95.0,106.2,24.700000000000003,,,,,,,62.2,37.5,ml/body_measurement/data/raw_test_data/F275_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f282,F282,F282,F,44.0,163.9,60.3,37.0,89.0,74.3,94.0,28.300000000000004,,,,,,,71.2,42.9,ml/body_measurement/data/raw_test_data/F282_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f285,F285,F285,F,23.0,164.6,63.0,36.8,94.0,76.6,96.7,32.599999999999994,,,,,,,73.6,41.0,ml/body_measurement/data/raw_test_data/F285_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f292,F292,F292,F,29.0,167.5,62.4,35.0,91.3,72.7,98.3,29.4,,,,,,,70.5,41.1,ml/body_measurement/data/raw_test_data/F292_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f293,F293,F293,F,32.0,154.8,57.5,34.8,88.3,75.8,93.4,26.0,,,,,,,67.0,41.0,ml/body_measurement/data/raw_test_data/F293_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f301,F301,F301,F,37.0,155.6,55.9,30.4,87.6,71.9,90.9,28.6,,,,,,,70.0,41.4,ml/body_measurement/data/raw_test_data/F301_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f312,F312,F312,F,24.0,158.2,51.4,34.5,84.5,67.0,87.6,30.299999999999997,,,,,,,70.1,39.8,ml/body_measurement/data/raw_test_data/F312_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f313,F313,F313,F,43.0,172.6,63.5,34.7,88.7,76.5,99.4,32.00000000000001,,,,,,,74.9,42.9,ml/body_measurement/data/raw_test_data/F313_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f317,F317,F317,F,26.0,156.0,55.1,35.5,88.0,73.0,94.7,29.099999999999994,,,,,,,68.6,39.5,ml/body_measurement/data/raw_test_data/F317_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f319,F319,F319,F,55.0,163.7,55.7,33.6,88.2,72.3,90.5,29.4,,,,,,,74.8,45.4,ml/body_measurement/data/raw_test_data/F319_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f342,F342,F342,F,51.0,155.1,56.9,33.0,89.5,74.2,94.0,25.700000000000003,,,,,,,64.9,39.2,ml/body_measurement/data/raw_test_data/F342_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f343,F343,F343,F,33.0,162.5,62.8,34.6,91.9,79.2,94.6,27.700000000000003,,,,,,,72.2,44.5,ml/body_measurement/data/raw_test_data/F343_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f345,F345,F345,F,36.0,169.7,60.0,35.0,88.0,71.0,94.4,33.400000000000006,,,,,,,74.4,41.0,ml/body_measurement/data/raw_test_data/F345_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f346,F346,F346,F,38.0,165.2,56.9,33.1,77.8,66.0,94.9,29.900000000000006,,,,,,,72.4,42.5,ml/body_measurement/data/raw_test_data/F346_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f349,F349,F349,F,30.0,166.5,58.5,33.4,86.4,69.6,92.6,31.799999999999997,,,,,,,76.0,44.2,ml/body_measurement/data/raw_test_data/F349_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f352,F352,F352,F,20.0,160.2,58.9,33.4,92.8,75.0,92.1,28.699999999999996,,,,,,,70.3,41.6,ml/body_measurement/data/raw_test_data/F352_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f354,F354,F354,F,74.0,153.8,79.5,34.4,108.5,101.3,112.0,26.599999999999994,,,,,,,65.3,38.7,ml/body_measurement/data/raw_test_data/F354_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f355,F355,F355,F,28.0,167.8,53.0,34.1,79.8,69.2,92.0,34.8,,,,,,,80.6,45.8,ml/body_measurement/data/raw_test_data/F355_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f357,F357,F357,F,29.0,164.2,55.1,35.0,81.5,67.9,89.6,30.200000000000003,,,,,,,72.5,42.3,ml/body_measurement/data/raw_test_data/F357_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f364,F364,F364,F,32.0,161.7,59.5,34.6,85.5,73.7,95.4,27.700000000000003,,,,,,,67.2,39.5,ml/body_measurement/data/raw_test_data/F364_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f365,F365,F365,F,39.0,158.7,63.0,34.6,90.9,78.4,100.0,28.800000000000004,,,,,,,69.2,40.4,ml/body_measurement/data/raw_test_data/F365_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f368,F368,F368,F,32.0,155.0,50.9,34.5,81.7,66.8,89.5,28.599999999999994,,,,,,,66.8,38.2,ml/body_measurement/data/raw_test_data/F368_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f369,F369,F369,F,40.0,165.5,55.0,34.7,84.4,65.9,92.7,32.7,,,,,,,74.9,42.2,ml/body_measurement/data/raw_test_data/F369_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f374,F374,F374,F,45.0,160.9,54.1,34.5,82.5,68.6,94.8,28.89999999999999,,,,,,,69.1,40.2,ml/body_measurement/data/raw_test_data/F374_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f376,F376,F376,F,53.0,166.1,70.1,38.1,97.0,83.5,98.5,30.799999999999997,,,,,,,72.6,41.8,ml/body_measurement/data/raw_test_data/F376_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f385,F385,F385,F,63.0,160.5,64.7,34.0,93.7,78.6,99.1,26.9,,,,,,,69.3,42.4,ml/body_measurement/data/raw_test_data/F385_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f394,F394,F394,F,33.0,162.9,57.6,36.9,83.6,70.6,95.5,30.799999999999997,,,,,,,71.5,40.7,ml/body_measurement/data/raw_test_data/F394_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f396,F396,F396,F,49.0,159.1,53.6,34.2,84.3,71.4,88.2,27.799999999999997,,,,,,,67.8,40.0,ml/body_measurement/data/raw_test_data/F396_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f398,F398,F398,F,21.0,155.4,52.1,35.5,88.4,71.0,89.6,29.0,,,,,,,69.8,40.8,ml/body_measurement/data/raw_test_data/F398_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f405,F405,F405,F,26.0,158.2,54.5,33.8,89.0,68.7,94.6,30.599999999999994,,,,,,,70.1,39.5,ml/body_measurement/data/raw_test_data/F405_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_f408,F408,F408,F,53.0,163.1,56.3,34.5,85.3,71.0,95.2,30.799999999999997,,,,,,,73.3,42.5,ml/body_measurement/data/raw_test_data/F408_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m012,M012,M012,M,26.0,177.9,78.4,38.6,92.3,82.1,100.4,26.999999999999993,,,,,,,75.1,48.1,ml/body_measurement/data/raw_test_data/M012_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m018,M018,M018,M,31.0,174.6,68.7,39.4,84.1,79.7,95.8,27.5,,,,,,,73.2,45.7,ml/body_measurement/data/raw_test_data/M018_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m019,M019,M019,M,58.0,165.9,65.4,38.9,91.1,82.2,90.6,31.900000000000006,,,,,,,72.4,40.5,ml/body_measurement/data/raw_test_data/M019_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m021,M021,M021,M,72.0,169.3,56.4,37.6,85.6,82.7,87.3,31.699999999999996,,,,,,,74.3,42.6,ml/body_measurement/data/raw_test_data/M021_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m023,M023,M023,M,28.0,172.8,56.3,37.1,83.0,70.1,86.6,31.099999999999994,,,,,,,78.8,47.7,ml/body_measurement/data/raw_test_data/M023_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m025,M025,M025,M,34.0,165.8,85.5,40.4,98.3,98.2,104.6,26.699999999999996,,,,,,,68.6,41.9,ml/body_measurement/data/raw_test_data/M025_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m030,M030,M030,M,30.0,170.8,76.9,41.9,96.1,82.6,99.0,26.000000000000007,,,,,,,69.4,43.4,ml/body_measurement/data/raw_test_data/M030_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m034,M034,M034,M,22.0,165.0,73.1,43.4,94.5,84.0,97.5,25.599999999999994,,,,,,,70.1,44.5,ml/body_measurement/data/raw_test_data/M034_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
sizkorea_m035,M035,M035,M,78.0,166.0,46.6,34.4,78.8,65.6,84.0,-50.0,,,,,,,72.5,122.5,ml/body_measurement/data/raw_test_data/M035_profile.csv,"same-image profile has crotch/knee heights for thigh_length; ankle, shoulder-height-to-pelvis-point, and front-neck landmarks are unavailable"
