subject_id,gender,age,height,weight,chest,waist,hip,thigh,calf,arm,shoulder,image_path,front_image_path,side_image_path,front_camera_number,side_camera_number
F063,F,37,164.5,54.5,85.6,71.7,93.0,56.7,33.0,28.0,37.2,ml/body_measurement/data/raw_test_data/F063_front.jpg,ml/body_measurement/data/raw_test_data/F063_front.jpg,ml/body_measurement/data/raw_test_data/F063_side.jpg,3,12
F071,F,48,166.5,90.1,103.3,89.7,109.2,70.0,44.0,38.0,35.4,ml/body_measurement/data/raw_test_data/F071_front.jpg,ml/body_measurement/data/raw_test_data/F071_front.jpg,ml/body_measurement/data/raw_test_data/F071_side.jpg,3,12
F072,F,49,154.9,55.2,89.7,75.0,93.6,54.0,33.0,29.2,36.8,ml/body_measurement/data/raw_test_data/F072_front.jpg,ml/body_measurement/data/raw_test_data/F072_front.jpg,ml/body_measurement/data/raw_test_data/F072_side.jpg,3,12
F073,F,26,161.7,59.7,80.1,71.0,96.0,59.8,36.8,28.0,35.4,ml/body_measurement/data/raw_test_data/F073_front.jpg,ml/body_measurement/data/raw_test_data/F073_front.jpg,ml/body_measurement/data/raw_test_data/F073_side.jpg,3,12
F075,F,49,161.6,76.3,105.3,89.1,104.4,63.9,39.5,33.3,37.9,ml/body_measurement/data/raw_test_data/F075_front.jpg,ml/body_measurement/data/raw_test_data/F075_front.jpg,ml/body_measurement/data/raw_test_data/F075_side.jpg,3,12
F090,F,34,157.2,49.6,85.0,66.8,90.0,53.0,33.5,26.0,32.3,ml/body_measurement/data/raw_test_data/F090_front.jpg,ml/body_measurement/data/raw_test_data/F090_front.jpg,ml/body_measurement/data/raw_test_data/F090_side.jpg,3,12
F093,F,44,172.2,60.1,83.6,69.4,96.5,55.2,36.8,27.0,37.4,ml/body_measurement/data/raw_test_data/F093_front.jpg,ml/body_measurement/data/raw_test_data/F093_front.jpg,ml/body_measurement/data/raw_test_data/F093_side.jpg,3,12
F098,F,20,169.0,46.7,76.0,59.5,86.5,50.0,31.9,25.0,36.5,ml/body_measurement/data/raw_test_data/F098_front.jpg,ml/body_measurement/data/raw_test_data/F098_front.jpg,ml/body_measurement/data/raw_test_data/F098_side.jpg,3,12
F099,F,55,158.5,71.4,101.5,94.4,105.0,61.8,38.5,34.0,35.0,ml/body_measurement/data/raw_test_data/F099_front.jpg,ml/body_measurement/data/raw_test_data/F099_front.jpg,ml/body_measurement/data/raw_test_data/F099_side.jpg,3,12
F103,F,53,162.5,76.6,101.0,90.5,105.5,65.2,37.2,34.0,37.4,ml/body_measurement/data/raw_test_data/F103_front.jpg,ml/body_measurement/data/raw_test_data/F103_front.jpg,ml/body_measurement/data/raw_test_data/F103_side.jpg,3,12
F111,F,37,164.1,59.3,88.5,74.4,95.9,57.4,34.3,29.8,37.4,ml/body_measurement/data/raw_test_data/F111_front.jpg,ml/body_measurement/data/raw_test_data/F111_front.jpg,ml/body_measurement/data/raw_test_data/F111_side.jpg,3,12
F115,F,34,161.4,56.8,89.1,69.2,95.0,54.0,36.5,29.3,32.7,ml/body_measurement/data/raw_test_data/F115_front.jpg,ml/body_measurement/data/raw_test_data/F115_front.jpg,ml/body_measurement/data/raw_test_data/F115_side.jpg,3,12
F117,F,47,169.3,83.1,110.8,98.5,102.2,58.1,38.8,34.2,41.1,ml/body_measurement/data/raw_test_data/F117_front.jpg,ml/body_measurement/data/raw_test_data/F117_front.jpg,ml/body_measurement/data/raw_test_data/F117_side.jpg,3,12
F120,F,27,160.7,52.5,87.6,68.0,88.6,51.4,33.0,27.7,35.9,ml/body_measurement/data/raw_test_data/F120_front.jpg,ml/body_measurement/data/raw_test_data/F120_front.jpg,ml/body_measurement/data/raw_test_data/F120_side.jpg,3,12
F123,F,42,163.0,65.9,94.7,83.5,100.3,61.9,36.5,31.1,33.8,ml/body_measurement/data/raw_test_data/F123_front.jpg,ml/body_measurement/data/raw_test_data/F123_front.jpg,ml/body_measurement/data/raw_test_data/F123_side.jpg,3,12
F125,F,21,167.3,59.3,92.1,68.0,97.1,58.9,35.2,30.0,33.9,ml/body_measurement/data/raw_test_data/F125_front.jpg,ml/body_measurement/data/raw_test_data/F125_front.jpg,ml/body_measurement/data/raw_test_data/F125_side.jpg,3,12
F128,F,38,169.3,60.8,82.8,73.5,96.7,54.0,32.3,29.5,36.4,ml/body_measurement/data/raw_test_data/F128_front.jpg,ml/body_measurement/data/raw_test_data/F128_front.jpg,ml/body_measurement/data/raw_test_data/F128_side.jpg,3,12
F145,F,49,160.5,62.9,95.6,77.0,100.6,60.7,36.2,30.0,36.6,ml/body_measurement/data/raw_test_data/F145_front.jpg,ml/body_measurement/data/raw_test_data/F145_front.jpg,ml/body_measurement/data/raw_test_data/F145_side.jpg,3,12
F148,F,27,162.3,49.8,85.0,67.0,89.3,50.5,32.5,24.8,33.0,ml/body_measurement/data/raw_test_data/F148_front.jpg,ml/body_measurement/data/raw_test_data/F148_front.jpg,ml/body_measurement/data/raw_test_data/F148_side.jpg,3,12
F153,F,39,158.1,45.3,78.5,66.2,85.3,51.0,33.9,24.7,31.3,ml/body_measurement/data/raw_test_data/F153_front.jpg,ml/body_measurement/data/raw_test_data/F153_front.jpg,ml/body_measurement/data/raw_test_data/F153_side.jpg,3,12
F156,F,56,158.8,59.5,95.2,79.3,92.4,50.7,36.1,30.6,35.1,ml/body_measurement/data/raw_test_data/F156_front.jpg,ml/body_measurement/data/raw_test_data/F156_front.jpg,ml/body_measurement/data/raw_test_data/F156_side.jpg,3,12
F169,F,28,157.0,70.3,100.2,86.8,104.0,62.7,39.7,33.8,32.9,ml/body_measurement/data/raw_test_data/F169_front.jpg,ml/body_measurement/data/raw_test_data/F169_front.jpg,ml/body_measurement/data/raw_test_data/F169_side.jpg,3,12
F178,F,50,156.1,65.8,93.5,83.4,96.0,56.4,38.8,35.0,36.4,ml/body_measurement/data/raw_test_data/F178_front.jpg,ml/body_measurement/data/raw_test_data/F178_front.jpg,ml/body_measurement/data/raw_test_data/F178_side.jpg,3,12
F187,F,32,154.3,50.4,86.4,65.9,91.7,56.7,34.5,26.5,32.2,ml/body_measurement/data/raw_test_data/F187_front.jpg,ml/body_measurement/data/raw_test_data/F187_front.jpg,ml/body_measurement/data/raw_test_data/F187_side.jpg,3,12
F193,F,24,158.9,49.1,79.5,65.3,86.4,52.2,33.1,26.7,34.6,ml/body_measurement/data/raw_test_data/F193_front.jpg,ml/body_measurement/data/raw_test_data/F193_front.jpg,ml/body_measurement/data/raw_test_data/F193_side.jpg,3,12
F194,F,39,170.4,54.0,82.8,71.0,91.8,50.4,33.5,27.5,36.4,ml/body_measurement/data/raw_test_data/F194_front.jpg,ml/body_measurement/data/raw_test_data/F194_front.jpg,ml/body_measurement/data/raw_test_data/F194_side.jpg,3,12
F199,F,39,161.4,46.7,78.4,65.9,89.5,50.0,32.6,24.5,33.9,ml/body_measurement/data/raw_test_data/F199_front.jpg,ml/body_measurement/data/raw_test_data/F199_front.jpg,ml/body_measurement/data/raw_test_data/F199_side.jpg,3,12
F203,F,30,160.3,59.6,92.2,79.4,94.0,57.5,35.8,29.4,33.3,ml/body_measurement/data/raw_test_data/F203_front.jpg,ml/body_measurement/data/raw_test_data/F203_front.jpg,ml/body_measurement/data/raw_test_data/F203_side.jpg,3,12
F220,F,48,164.6,56.5,83.0,69.9,94.8,54.8,34.7,27.2,32.1,ml/body_measurement/data/raw_test_data/F220_front.jpg,ml/body_measurement/data/raw_test_data/F220_front.jpg,ml/body_measurement/data/raw_test_data/F220_side.jpg,3,12
F221,F,24,161.2,48.6,82.0,67.0,89.6,52.8,34.2,26.0,34.8,ml/body_measurement/data/raw_test_data/F221_front.jpg,ml/body_measurement/data/raw_test_data/F221_front.jpg,ml/body_measurement/data/raw_test_data/F221_side.jpg,3,12
F223,F,50,158.7,71.9,109.5,101.2,95.8,52.2,36.5,31.0,36.3,ml/body_measurement/data/raw_test_data/F223_front.jpg,ml/body_measurement/data/raw_test_data/F223_front.jpg,ml/body_measurement/data/raw_test_data/F223_side.jpg,3,12
F226,F,50,162.9,54.7,87.0,77.5,92.6,49.3,32.5,27.0,33.3,ml/body_measurement/data/raw_test_data/F226_front.jpg,ml/body_measurement/data/raw_test_data/F226_front.jpg,ml/body_measurement/data/raw_test_data/F226_side.jpg,3,12
F233,F,51,155.0,61.8,100.5,84.2,91.2,52.4,37.7,29.5,34.6,ml/body_measurement/data/raw_test_data/F233_front.jpg,ml/body_measurement/data/raw_test_data/F233_front.jpg,ml/body_measurement/data/raw_test_data/F233_side.jpg,3,12
F234,F,22,152.2,47.0,79.6,62.8,91.0,52.0,33.0,25.2,33.0,ml/body_measurement/data/raw_test_data/F234_front.jpg,ml/body_measurement/data/raw_test_data/F234_front.jpg,ml/body_measurement/data/raw_test_data/F234_side.jpg,3,12
F241,F,69,152.1,57.3,91.6,83.8,92.5,55.5,35.4,31.0,30.8,ml/body_measurement/data/raw_test_data/F241_front.jpg,ml/body_measurement/data/raw_test_data/F241_front.jpg,ml/body_measurement/data/raw_test_data/F241_side.jpg,3,12
F246,F,29,159.6,59.9,92.3,75.5,98.4,56.8,34.4,28.3,35.8,ml/body_measurement/data/raw_test_data/F246_front.jpg,ml/body_measurement/data/raw_test_data/F246_front.jpg,ml/body_measurement/data/raw_test_data/F246_side.jpg,3,12
F251,F,38,164.4,49.0,80.5,63.0,87.5,52.8,34.4,25.4,33.1,ml/body_measurement/data/raw_test_data/F251_front.jpg,ml/body_measurement/data/raw_test_data/F251_front.jpg,ml/body_measurement/data/raw_test_data/F251_side.jpg,3,12
F259,F,61,161.0,71.8,106.6,94.1,100.7,62.5,36.3,32.6,32.4,ml/body_measurement/data/raw_test_data/F259_front.jpg,ml/body_measurement/data/raw_test_data/F259_front.jpg,ml/body_measurement/data/raw_test_data/F259_side.jpg,3,12
F265,F,35,159.8,65.5,91.0,78.8,100.8,64.0,38.6,32.1,35.2,ml/body_measurement/data/raw_test_data/F265_front.jpg,ml/body_measurement/data/raw_test_data/F265_front.jpg,ml/body_measurement/data/raw_test_data/F265_side.jpg,3,12
F268,F,25,157.6,53.5,82.5,67.5,94.3,56.7,35.0,28.7,31.6,ml/body_measurement/data/raw_test_data/F268_front.jpg,ml/body_measurement/data/raw_test_data/F268_front.jpg,ml/body_measurement/data/raw_test_data/F268_side.jpg,3,12
F269,F,25,162.5,52.4,79.8,60.6,88.9,53.2,34.6,27.4,36.4,ml/body_measurement/data/raw_test_data/F269_front.jpg,ml/body_measurement/data/raw_test_data/F269_front.jpg,ml/body_measurement/data/raw_test_data/F269_side.jpg,3,12
F274,F,34,169.6,53.7,78.0,69.5,91.5,52.2,34.3,23.7,33.5,ml/body_measurement/data/raw_test_data/F274_front.jpg,ml/body_measurement/data/raw_test_data/F274_front.jpg,ml/body_measurement/data/raw_test_data/F274_side.jpg,3,12
F275,F,43,148.6,74.7,102.5,95.0,106.2,62.9,42.9,36.9,35.1,ml/body_measurement/data/raw_test_data/F275_front.jpg,ml/body_measurement/data/raw_test_data/F275_front.jpg,ml/body_measurement/data/raw_test_data/F275_side.jpg,3,12
F282,F,44,163.9,60.3,89.0,74.3,94.0,55.5,35.0,27.3,37.0,ml/body_measurement/data/raw_test_data/F282_front.jpg,ml/body_measurement/data/raw_test_data/F282_front.jpg,ml/body_measurement/data/raw_test_data/F282_side.jpg,3,12
F285,F,23,164.6,63.0,94.0,76.6,96.7,58.5,37.8,28.9,36.8,ml/body_measurement/data/raw_test_data/F285_front.jpg,ml/body_measurement/data/raw_test_data/F285_front.jpg,ml/body_measurement/data/raw_test_data/F285_side.jpg,3,12
F292,F,29,167.5,62.4,91.3,72.7,98.3,53.8,36.0,29.0,35.0,ml/body_measurement/data/raw_test_data/F292_front.jpg,ml/body_measurement/data/raw_test_data/F292_front.jpg,ml/body_measurement/data/raw_test_data/F292_side.jpg,3,12
F293,F,32,154.8,57.5,88.3,75.8,93.4,56.4,36.0,29.5,34.8,ml/body_measurement/data/raw_test_data/F293_front.jpg,ml/body_measurement/data/raw_test_data/F293_front.jpg,ml/body_measurement/data/raw_test_data/F293_side.jpg,3,12
F301,F,37,155.6,55.9,87.6,71.9,90.9,54.5,36.2,29.6,30.4,ml/body_measurement/data/raw_test_data/F301_front.jpg,ml/body_measurement/data/raw_test_data/F301_front.jpg,ml/body_measurement/data/raw_test_data/F301_side.jpg,3,12
F312,F,24,158.2,51.4,84.5,67.0,87.6,53.5,35.2,25.5,34.5,ml/body_measurement/data/raw_test_data/F312_front.jpg,ml/body_measurement/data/raw_test_data/F312_front.jpg,ml/body_measurement/data/raw_test_data/F312_side.jpg,3,12
F313,F,43,172.6,63.5,88.7,76.5,99.4,59.6,33.3,27.7,34.7,ml/body_measurement/data/raw_test_data/F313_front.jpg,ml/body_measurement/data/raw_test_data/F313_front.jpg,ml/body_measurement/data/raw_test_data/F313_side.jpg,3,12
F317,F,26,156.0,55.1,88.0,73.0,94.7,54.6,34.1,27.2,35.5,ml/body_measurement/data/raw_test_data/F317_front.jpg,ml/body_measurement/data/raw_test_data/F317_front.jpg,ml/body_measurement/data/raw_test_data/F317_side.jpg,3,12
F319,F,55,163.7,55.7,88.2,72.3,90.5,49.8,31.8,25.7,33.6,ml/body_measurement/data/raw_test_data/F319_front.jpg,ml/body_measurement/data/raw_test_data/F319_front.jpg,ml/body_measurement/data/raw_test_data/F319_side.jpg,3,12
F342,F,51,155.1,56.9,89.5,74.2,94.0,55.0,36.8,30.2,33.0,ml/body_measurement/data/raw_test_data/F342_front.jpg,ml/body_measurement/data/raw_test_data/F342_front.jpg,ml/body_measurement/data/raw_test_data/F342_side.jpg,3,12
F343,F,33,162.5,62.8,91.9,79.2,94.6,57.6,36.7,30.7,34.6,ml/body_measurement/data/raw_test_data/F343_front.jpg,ml/body_measurement/data/raw_test_data/F343_front.jpg,ml/body_measurement/data/raw_test_data/F343_side.jpg,3,12
F345,F,36,169.7,60.0,88.0,71.0,94.4,56.8,34.0,27.5,35.0,ml/body_measurement/data/raw_test_data/F345_front.jpg,ml/body_measurement/data/raw_test_data/F345_front.jpg,ml/body_measurement/data/raw_test_data/F345_side.jpg,3,12
F346,F,38,165.2,56.9,77.8,66.0,94.9,56.0,35.3,28.0,33.1,ml/body_measurement/data/raw_test_data/F346_front.jpg,ml/body_measurement/data/raw_test_data/F346_front.jpg,ml/body_measurement/data/raw_test_data/F346_side.jpg,3,12
F349,F,30,166.5,58.5,86.4,69.6,92.6,53.8,36.5,29.8,33.4,ml/body_measurement/data/raw_test_data/F349_front.jpg,ml/body_measurement/data/raw_test_data/F349_front.jpg,ml/body_measurement/data/raw_test_data/F349_side.jpg,3,12
F352,F,20,160.2,58.9,92.8,75.0,92.1,54.3,36.5,30.0,33.4,ml/body_measurement/data/raw_test_data/F352_front.jpg,ml/body_measurement/data/raw_test_data/F352_front.jpg,ml/body_measurement/data/raw_test_data/F352_side.jpg,3,12
F354,F,74,153.8,79.5,108.5,101.3,112.0,63.3,39.5,36.5,34.4,ml/body_measurement/data/raw_test_data/F354_front.jpg,ml/body_measurement/data/raw_test_data/F354_front.jpg,ml/body_measurement/data/raw_test_data/F354_side.jpg,3,12
F355,F,28,167.8,53.0,79.8,69.2,92.0,53.0,33.8,25.0,34.1,ml/body_measurement/data/raw_test_data/F355_front.jpg,ml/body_measurement/data/raw_test_data/F355_front.jpg,ml/body_measurement/data/raw_test_data/F355_side.jpg,3,12
F357,F,29,164.2,55.1,81.5,67.9,89.6,56.0,35.1,27.9,35.0,ml/body_measurement/data/raw_test_data/F357_front.jpg,ml/body_measurement/data/raw_test_data/F357_front.jpg,ml/body_measurement/data/raw_test_data/F357_side.jpg,3,12
F364,F,32,161.7,59.5,85.5,73.7,95.4,55.4,35.7,29.5,34.6,ml/body_measurement/data/raw_test_data/F364_front.jpg,ml/body_measurement/data/raw_test_data/F364_front.jpg,ml/body_measurement/data/raw_test_data/F364_side.jpg,3,12
F365,F,39,158.7,63.0,90.9,78.4,100.0,57.8,37.2,30.9,34.6,ml/body_measurement/data/raw_test_data/F365_front.jpg,ml/body_measurement/data/raw_test_data/F365_front.jpg,ml/body_measurement/data/raw_test_data/F365_side.jpg,3,12
F368,F,32,155.0,50.9,81.7,66.8,89.5,55.1,33.8,27.7,34.5,ml/body_measurement/data/raw_test_data/F368_front.jpg,ml/body_measurement/data/raw_test_data/F368_front.jpg,ml/body_measurement/data/raw_test_data/F368_side.jpg,3,12
F369,F,40,165.5,55.0,84.4,65.9,92.7,52.8,34.4,27.2,34.7,ml/body_measurement/data/raw_test_data/F369_front.jpg,ml/body_measurement/data/raw_test_data/F369_front.jpg,ml/body_measurement/data/raw_test_data/F369_side.jpg,3,12
F374,F,45,160.9,54.1,82.5,68.6,94.8,53.5,32.7,26.5,34.5,ml/body_measurement/data/raw_test_data/F374_front.jpg,ml/body_measurement/data/raw_test_data/F374_front.jpg,ml/body_measurement/data/raw_test_data/F374_side.jpg,3,12
F376,F,53,166.1,70.1,97.0,83.5,98.5,57.8,36.8,32.3,38.1,ml/body_measurement/data/raw_test_data/F376_front.jpg,ml/body_measurement/data/raw_test_data/F376_front.jpg,ml/body_measurement/data/raw_test_data/F376_side.jpg,3,12
F385,F,63,160.5,64.7,93.7,78.6,99.1,59.0,37.5,30.4,34.0,ml/body_measurement/data/raw_test_data/F385_front.jpg,ml/body_measurement/data/raw_test_data/F385_front.jpg,ml/body_measurement/data/raw_test_data/F385_side.jpg,3,12
F394,F,33,162.9,57.6,83.6,70.6,95.5,57.0,35.3,26.7,36.9,ml/body_measurement/data/raw_test_data/F394_front.jpg,ml/body_measurement/data/raw_test_data/F394_front.jpg,ml/body_measurement/data/raw_test_data/F394_side.jpg,3,12
F396,F,49,159.1,53.6,84.3,71.4,88.2,51.8,34.8,27.4,34.2,ml/body_measurement/data/raw_test_data/F396_front.jpg,ml/body_measurement/data/raw_test_data/F396_front.jpg,ml/body_measurement/data/raw_test_data/F396_side.jpg,3,12
F398,F,21,155.4,52.1,88.4,71.0,89.6,53.6,33.2,27.7,35.5,ml/body_measurement/data/raw_test_data/F398_front.jpg,ml/body_measurement/data/raw_test_data/F398_front.jpg,ml/body_measurement/data/raw_test_data/F398_side.jpg,3,12
F405,F,26,158.2,54.5,89.0,68.7,94.6,57.4,33.5,27.8,33.8,ml/body_measurement/data/raw_test_data/F405_front.jpg,ml/body_measurement/data/raw_test_data/F405_front.jpg,ml/body_measurement/data/raw_test_data/F405_side.jpg,3,12
F408,F,53,163.1,56.3,85.3,71.0,95.2,51.0,33.3,29.0,34.5,ml/body_measurement/data/raw_test_data/F408_front.jpg,ml/body_measurement/data/raw_test_data/F408_front.jpg,ml/body_measurement/data/raw_test_data/F408_side.jpg,3,12
M012,M,26,177.9,78.4,92.3,82.1,100.4,60.9,39.5,32.4,38.6,ml/body_measurement/data/raw_test_data/M012_front.jpg,ml/body_measurement/data/raw_test_data/M012_front.jpg,ml/body_measurement/data/raw_test_data/M012_side.jpg,3,12
M018,M,31,174.6,68.7,84.1,79.7,95.8,58.1,37.7,30.3,39.4,ml/body_measurement/data/raw_test_data/M018_front.jpg,ml/body_measurement/data/raw_test_data/M018_front.jpg,ml/body_measurement/data/raw_test_data/M018_side.jpg,3,12
M019,M,58,165.9,65.4,91.1,82.2,90.6,50.1,35.0,30.8,38.9,ml/body_measurement/data/raw_test_data/M019_front.jpg,ml/body_measurement/data/raw_test_data/M019_front.jpg,ml/body_measurement/data/raw_test_data/M019_side.jpg,3,12
M021,M,72,169.3,56.4,85.6,82.7,87.3,45.8,33.9,26.7,37.6,ml/body_measurement/data/raw_test_data/M021_front.jpg,ml/body_measurement/data/raw_test_data/M021_front.jpg,ml/body_measurement/data/raw_test_data/M021_side.jpg,3,12
M023,M,28,172.8,56.3,83.0,70.1,86.6,47.0,34.8,26.9,37.1,ml/body_measurement/data/raw_test_data/M023_front.jpg,ml/body_measurement/data/raw_test_data/M023_front.jpg,ml/body_measurement/data/raw_test_data/M023_side.jpg,3,12
M025,M,34,165.8,85.5,98.3,98.2,104.6,65.7,42.1,36.2,40.4,ml/body_measurement/data/raw_test_data/M025_front.jpg,ml/body_measurement/data/raw_test_data/M025_front.jpg,ml/body_measurement/data/raw_test_data/M025_side.jpg,3,12
M030,M,30,170.8,76.9,96.1,82.6,99.0,93.7,39.0,35.3,41.9,ml/body_measurement/data/raw_test_data/M030_front.jpg,ml/body_measurement/data/raw_test_data/M030_front.jpg,ml/body_measurement/data/raw_test_data/M030_side.jpg,3,12
M034,M,22,165.0,73.1,94.5,84.0,97.5,59.2,39.0,35.3,43.4,ml/body_measurement/data/raw_test_data/M034_front.jpg,ml/body_measurement/data/raw_test_data/M034_front.jpg,ml/body_measurement/data/raw_test_data/M034_side.jpg,3,12
M035,M,78,166.0,46.6,78.8,65.6,84.0,46.0,33.2,23.5,34.4,ml/body_measurement/data/raw_test_data/M035_front.jpg,ml/body_measurement/data/raw_test_data/M035_front.jpg,ml/body_measurement/data/raw_test_data/M035_side.jpg,3,12
M036,M,53,166.2,53.6,85.2,71.0,84.7,48.0,33.9,26.0,38.3,ml/body_measurement/data/raw_test_data/M036_front.jpg,ml/body_measurement/data/raw_test_data/M036_front.jpg,ml/body_measurement/data/raw_test_data/M036_side.jpg,3,12
M043,M,27,180.9,57.3,80.6,68.9,85.0,50.0,33.0,26.3,39.5,ml/body_measurement/data/raw_test_data/M043_front.jpg,ml/body_measurement/data/raw_test_data/M043_front.jpg,ml/body_measurement/data/raw_test_data/M043_side.jpg,3,12
M044,M,24,170.0,58.1,83.8,71.5,88.0,50.2,36.0,29.2,39.2,ml/body_measurement/data/raw_test_data/M044_front.jpg,ml/body_measurement/data/raw_test_data/M044_front.jpg,ml/body_measurement/data/raw_test_data/M044_side.jpg,3,12
M046,M,46,160.4,69.6,95.6,87.5,97.6,58.2,38.4,32.9,37.4,ml/body_measurement/data/raw_test_data/M046_front.jpg,ml/body_measurement/data/raw_test_data/M046_front.jpg,ml/body_measurement/data/raw_test_data/M046_side.jpg,3,12
M050,M,23,165.7,59.7,87.6,74.1,89.1,53.7,35.9,31.7,39.6,ml/body_measurement/data/raw_test_data/M050_front.jpg,ml/body_measurement/data/raw_test_data/M050_front.jpg,ml/body_measurement/data/raw_test_data/M050_side.jpg,3,12
M057,M,23,169.0,75.0,97.0,80.3,98.0,57.9,39.5,34.3,40.7,ml/body_measurement/data/raw_test_data/M057_front.jpg,ml/body_measurement/data/raw_test_data/M057_front.jpg,ml/body_measurement/data/raw_test_data/M057_side.jpg,3,12
M058,M,22,174.5,75.0,95.2,83.9,97.5,58.0,40.6,33.0,39.7,ml/body_measurement/data/raw_test_data/M058_front.jpg,ml/body_measurement/data/raw_test_data/M058_front.jpg,ml/body_measurement/data/raw_test_data/M058_side.jpg,3,12
M060,M,31,169.0,65.2,88.7,78.0,94.0,57.0,38.4,30.6,39.9,ml/body_measurement/data/raw_test_data/M060_front.jpg,ml/body_measurement/data/raw_test_data/M060_front.jpg,ml/body_measurement/data/raw_test_data/M060_side.jpg,3,12
M064,M,38,165.7,64.1,86.0,78.9,91.4,54.8,37.8,30.5,39.4,ml/body_measurement/data/raw_test_data/M064_front.jpg,ml/body_measurement/data/raw_test_data/M064_front.jpg,ml/body_measurement/data/raw_test_data/M064_side.jpg,3,12
M071,M,27,172.7,67.3,90.5,73.3,92.2,56.3,37.5,32.6,40.9,ml/body_measurement/data/raw_test_data/M071_front.jpg,ml/body_measurement/data/raw_test_data/M071_front.jpg,ml/body_measurement/data/raw_test_data/M071_side.jpg,3,12
M072,M,65,164.3,66.2,88.8,83.5,92.6,55.1,38.7,31.1,37.3,ml/body_measurement/data/raw_test_data/M072_front.jpg,ml/body_measurement/data/raw_test_data/M072_front.jpg,ml/body_measurement/data/raw_test_data/M072_side.jpg,3,12
M076,M,46,164.6,69.2,93.5,82.8,97.5,58.0,37.0,33.5,36.3,ml/body_measurement/data/raw_test_data/M076_front.jpg,ml/body_measurement/data/raw_test_data/M076_front.jpg,ml/body_measurement/data/raw_test_data/M076_side.jpg,3,12
M077,M,30,174.1,56.9,83.8,71.0,86.4,47.4,34.1,26.4,38.4,ml/body_measurement/data/raw_test_data/M077_front.jpg,ml/body_measurement/data/raw_test_data/M077_front.jpg,ml/body_measurement/data/raw_test_data/M077_side.jpg,3,12
M083,M,31,169.7,64.5,89.3,73.2,90.0,52.3,35.5,32.3,41.3,ml/body_measurement/data/raw_test_data/M083_front.jpg,ml/body_measurement/data/raw_test_data/M083_front.jpg,ml/body_measurement/data/raw_test_data/M083_side.jpg,3,12
M084,M,21,173.3,62.2,89.4,70.7,91.0,52.6,34.0,30.8,40.4,ml/body_measurement/data/raw_test_data/M084_front.jpg,ml/body_measurement/data/raw_test_data/M084_front.jpg,ml/body_measurement/data/raw_test_data/M084_side.jpg,3,12
M086,M,27,176.7,55.8,85.9,61.7,85.3,47.0,35.9,25.9,41.1,ml/body_measurement/data/raw_test_data/M086_front.jpg,ml/body_measurement/data/raw_test_data/M086_front.jpg,ml/body_measurement/data/raw_test_data/M086_side.jpg,3,12
