subject_id,gender,height,weight,chest,waist,hip,thigh,calf,arm,shoulder,bmi,waist_hip_ratio,category,source,image_front,image_side,pred_chest,pred_waist,pred_hip,err_chest,err_waist,err_hip,neck_length,thigh_calf_ratio,torso_leg_ratio
sizkorea_f090,F,157.2,49.6,85.0,66.8,90.0,53.0,33.5,26.0,32.3,20.1,0.742,sizkorea,raw_test_data/F090,sizkorea_f090_front.jpg,sizkorea_f090_side.jpg,39.5,32.0,43.5,-45.5,-34.8,-46.5,11.2,0.735,1.22
sizkorea_f093,F,172.2,60.1,83.6,69.4,96.5,55.2,36.8,27.0,37.4,20.3,0.719,sizkorea,raw_test_data/F093,sizkorea_f093_front.jpg,sizkorea_f093_side.jpg,82.3,68.0,90.1,-1.3,-1.4,-6.4,7.5,0.788,1.144
sizkorea_f098,F,169.0,46.7,76.0,59.5,86.5,50.0,31.9,25.0,36.5,16.4,0.688,sizkorea,raw_test_data/F098,sizkorea_f098_front.jpg,sizkorea_f098_side.jpg,81.0,60.5,86.0,5.0,1.0,-0.5,10.7,0.765,1.167
sizkorea_f099,F,158.5,71.4,101.5,94.4,105.0,61.8,38.5,34.0,35.0,28.4,0.899,sizkorea,raw_test_data/F099,sizkorea_f099_front.jpg,sizkorea_f099_side.jpg,97.8,85.2,104.4,-3.8,-9.2,-0.6,8.9,0.762,1.211
sizkorea_f103,F,162.5,76.6,101.0,90.5,105.5,65.2,37.2,34.0,37.4,29.0,0.858,sizkorea,raw_test_data/F103,sizkorea_f103_front.jpg,sizkorea_f103_side.jpg,42.5,43.2,52.0,-58.5,-47.2,-53.5,7.2,0.742,1.315
sizkorea_f111,F,164.1,59.3,88.5,74.4,95.9,57.4,34.3,29.8,37.4,22.0,0.776,sizkorea,raw_test_data/F111,sizkorea_f111_front.jpg,sizkorea_f111_side.jpg,87.0,72.0,92.0,-1.5,-2.4,-3.9,8.5,0.814,1.191
sizkorea_f115,F,161.4,56.8,89.1,69.2,95.0,54.0,36.5,29.3,32.7,21.8,0.728,sizkorea,raw_test_data/F115,sizkorea_f115_front.jpg,sizkorea_f115_side.jpg,42.0,32.5,45.0,-47.1,-36.7,-50.0,8.4,0.705,1.27
sizkorea_f117,F,169.3,83.1,110.8,98.5,102.2,58.1,38.8,34.2,41.1,29.0,0.964,sizkorea,raw_test_data/F117,sizkorea_f117_front.jpg,sizkorea_f117_side.jpg,99.5,93.5,109.0,-11.3,-5.0,6.8,8.3,0.736,1.202
sizkorea_f120,F,160.7,52.5,87.6,68.0,88.6,51.4,33.0,27.7,35.9,20.3,0.767,sizkorea,raw_test_data/F120,sizkorea_f120_front.jpg,sizkorea_f120_side.jpg,42.0,32.5,44.0,-45.6,-35.5,-44.6,8.5,0.796,1.146
sizkorea_f123,F,163.0,65.9,94.7,83.5,100.3,61.9,36.5,31.1,33.8,24.8,0.833,sizkorea,raw_test_data/F123,sizkorea_f123_front.jpg,sizkorea_f123_side.jpg,93.2,80.5,101.0,-1.5,-3.0,0.7,6.2,0.768,1.233
sizkorea_f125,F,167.3,59.3,92.1,68.0,97.1,58.9,35.2,30.0,33.9,21.2,0.7,sizkorea,raw_test_data/F125,sizkorea_f125_front.jpg,sizkorea_f125_side.jpg,43.5,34.5,45.5,-48.6,-33.5,-51.6,9.5,0.707,1.243
sizkorea_f128,F,169.3,60.8,82.8,73.5,96.7,54.0,32.3,29.5,36.4,21.2,0.76,sizkorea,raw_test_data/F128,sizkorea_f128_front.jpg,sizkorea_f128_side.jpg,86.2,70.0,93.0,3.5,-3.5,-3.7,9.0,0.722,1.276
sizkorea_f145,F,160.5,62.9,95.6,77.0,100.6,60.7,36.2,30.0,36.6,24.4,0.765,sizkorea,raw_test_data/F145,sizkorea_f145_front.jpg,sizkorea_f145_side.jpg,88.5,77.0,97.5,-7.1,0.0,-3.1,7.0,0.677,1.273
sizkorea_f148,F,162.3,49.8,85.0,67.0,89.3,50.5,32.5,24.8,33.0,18.9,0.75,sizkorea,raw_test_data/F148,sizkorea_f148_front.jpg,sizkorea_f148_side.jpg,41.5,30.5,43.0,-43.5,-36.5,-46.3,8.4,0.662,1.276
sizkorea_f153,F,158.1,45.3,78.5,66.2,85.3,51.0,33.9,24.7,31.3,18.1,0.776,sizkorea,raw_test_data/F153,sizkorea_f153_front.jpg,sizkorea_f153_side.jpg,81.0,62.0,85.5,2.5,-4.2,0.2,8.1,0.758,1.249
sizkorea_f156,F,158.8,59.5,95.2,79.3,92.4,50.7,36.1,30.6,35.1,23.6,0.858,sizkorea,raw_test_data/F156,sizkorea_f156_front.jpg,sizkorea_f156_side.jpg,43.2,39.0,46.0,-52.0,-40.3,-46.4,8.3,0.658,1.291
sizkorea_f169,F,157.0,70.3,100.2,86.8,104.0,62.7,39.7,33.8,32.9,28.5,0.835,sizkorea,raw_test_data/F169,sizkorea_f169_front.jpg,sizkorea_f169_side.jpg,93.2,82.5,101.0,-7.0,-4.3,-3.0,5.8,0.714,1.302
sizkorea_f178,F,156.1,65.8,93.5,83.4,96.0,56.4,38.8,35.0,36.4,27.0,0.869,sizkorea,raw_test_data/F178,sizkorea_f178_front.jpg,sizkorea_f178_side.jpg,96.2,85.0,100.5,2.8,1.6,4.5,5.8,0.659,1.262
sizkorea_f187,F,154.3,50.4,86.4,65.9,91.7,56.7,34.5,26.5,32.2,21.2,0.719,sizkorea,raw_test_data/F187,sizkorea_f187_front.jpg,sizkorea_f187_side.jpg,84.2,65.2,88.8,-2.2,-0.8,-2.9,7.3,0.72,1.324
sizkorea_f193,F,158.9,49.1,79.5,65.3,86.4,52.2,33.1,26.7,34.6,19.4,0.756,sizkorea,raw_test_data/F193,sizkorea_f193_front.jpg,sizkorea_f193_side.jpg,42.5,32.5,44.5,-37.0,-32.8,-41.9,7.8,0.758,1.189
sizkorea_f194,F,170.4,54.0,82.8,71.0,91.8,50.4,33.5,27.5,36.4,18.6,0.773,sizkorea,raw_test_data/F194,sizkorea_f194_front.jpg,sizkorea_f194_side.jpg,84.0,63.5,87.0,1.2,-7.5,-4.8,10.4,0.755,1.125
sizkorea_f199,F,161.4,46.7,78.4,65.9,89.5,50.0,32.6,24.5,33.9,17.9,0.736,sizkorea,raw_test_data/F199,sizkorea_f199_front.jpg,sizkorea_f199_side.jpg,82.0,62.0,86.0,3.6,-3.9,-3.5,8.0,0.79,1.178
sizkorea_f203,F,160.3,59.6,92.2,79.4,94.0,57.5,35.8,29.4,33.3,23.2,0.845,sizkorea,raw_test_data/F203,sizkorea_f203_front.jpg,sizkorea_f203_side.jpg,42.5,35.0,46.0,-49.7,-44.4,-48.0,6.6,0.735,1.149
sizkorea_f220,F,164.6,56.5,83.0,69.9,94.8,54.8,34.7,27.2,32.1,20.9,0.737,sizkorea,raw_test_data/F220,sizkorea_f220_front.jpg,sizkorea_f220_side.jpg,83.2,66.8,89.0,0.2,-3.2,-5.8,8.2,0.709,1.261
sizkorea_f221,F,161.2,48.6,82.0,67.0,89.6,52.8,34.2,26.0,34.8,18.7,0.748,sizkorea,raw_test_data/F221,sizkorea_f221_front.jpg,sizkorea_f221_side.jpg,84.0,63.5,87.0,2.0,-3.5,-2.6,8.5,0.746,1.236
sizkorea_f223,F,158.7,71.9,109.5,101.2,95.8,52.2,36.5,31.0,36.3,28.5,1.056,sizkorea,raw_test_data/F223,sizkorea_f223_front.jpg,sizkorea_f223_side.jpg,98.0,87.0,102.0,-11.5,-14.2,6.2,6.8,0.691,1.183
sizkorea_f226,F,162.9,54.7,87.0,77.5,92.6,49.3,32.5,27.0,33.3,20.6,0.837,sizkorea,raw_test_data/F226,sizkorea_f226_front.jpg,sizkorea_f226_side.jpg,84.0,67.5,91.0,-3.0,-10.0,-1.6,8.8,0.72,1.207
sizkorea_f233,F,155.0,61.8,100.5,84.2,91.2,52.4,37.7,29.5,34.6,25.7,0.923,sizkorea,raw_test_data/F233,sizkorea_f233_front.jpg,sizkorea_f233_side.jpg,,,,,,,4.7,0.806,1.162
sizkorea_f234,F,152.2,47.0,79.6,62.8,91.0,52.0,33.0,25.2,33.0,20.3,0.69,sizkorea,raw_test_data/F234,sizkorea_f234_front.jpg,sizkorea_f234_side.jpg,39.0,30.5,43.0,-40.6,-32.3,-48.0,8.7,0.742,1.251
sizkorea_f241,F,152.1,57.3,91.6,83.8,92.5,55.5,35.4,31.0,30.8,24.8,0.906,sizkorea,raw_test_data/F241,sizkorea_f241_front.jpg,sizkorea_f241_side.jpg,,,,,,,4.5,0.749,1.253
sizkorea_f246,F,159.6,59.9,92.3,75.5,98.4,56.8,34.4,28.3,35.8,23.5,0.767,sizkorea,raw_test_data/F246,sizkorea_f246_front.jpg,sizkorea_f246_side.jpg,90.2,73.5,95.5,-2.0,-2.0,-2.9,8.6,0.747,1.223
sizkorea_f251,F,164.4,49.0,80.5,63.0,87.5,52.8,34.4,25.4,33.1,18.1,0.72,sizkorea,raw_test_data/F251,sizkorea_f251_front.jpg,sizkorea_f251_side.jpg,81.5,61.5,87.0,1.0,-1.5,-0.5,8.3,0.867,1.258
sizkorea_f259,F,161.0,71.8,106.6,94.1,100.7,62.5,36.3,32.6,32.4,27.7,0.934,sizkorea,raw_test_data/F259,sizkorea_f259_front.jpg,sizkorea_f259_side.jpg,101.0,88.0,105.0,-5.6,-6.1,4.3,9.8,0.8,1.135
sizkorea_f265,F,159.8,65.5,91.0,78.8,100.8,64.0,38.6,32.1,35.2,25.7,0.782,sizkorea,raw_test_data/F265,sizkorea_f265_front.jpg,sizkorea_f265_side.jpg,95.0,83.5,101.5,4.0,4.7,0.7,8.3,0.758,1.319
sizkorea_f268,F,157.6,53.5,82.5,67.5,94.3,56.7,35.0,28.7,31.6,21.5,0.716,sizkorea,raw_test_data/F268,sizkorea_f268_front.jpg,sizkorea_f268_side.jpg,81.8,66.0,89.5,-0.8,-1.5,-4.8,7.8,0.746,1.207
sizkorea_f269,F,162.5,52.4,79.8,60.6,88.9,53.2,34.6,27.4,36.4,19.8,0.682,sizkorea,raw_test_data/F269,sizkorea_f269_front.jpg,sizkorea_f269_side.jpg,83.8,65.5,89.5,4.0,4.9,0.6,9.7,0.833,1.184
sizkorea_f274,F,169.6,53.7,78.0,69.5,91.5,52.2,34.3,23.7,33.5,18.7,0.76,sizkorea,raw_test_data/F274,sizkorea_f274_front.jpg,sizkorea_f274_side.jpg,84.0,65.0,88.0,6.0,-4.5,-3.5,7.8,0.869,1.125
sizkorea_f275,F,148.6,74.7,102.5,95.0,106.2,62.9,42.9,36.9,35.1,33.8,0.895,sizkorea,raw_test_data/F275,sizkorea_f275_front.jpg,sizkorea_f275_side.jpg,101.5,95.0,107.5,-1.0,0.0,1.3,7.8,0.656,1.452
sizkorea_f282,F,163.9,60.3,89.0,74.3,94.0,55.5,35.0,27.3,37.0,22.4,0.79,sizkorea,raw_test_data/F282,sizkorea_f282_front.jpg,sizkorea_f282_side.jpg,88.2,73.0,95.0,-0.8,-1.3,1.0,7.9,0.674,1.236
sizkorea_f285,F,164.6,63.0,94.0,76.6,96.7,58.5,37.8,28.9,36.8,23.3,0.792,sizkorea,raw_test_data/F285,sizkorea_f285_front.jpg,sizkorea_f285_side.jpg,86.0,73.0,93.5,-8.0,-3.6,-3.2,6.5,0.817,1.277
sizkorea_f292,F,167.5,62.4,91.3,72.7,98.3,53.8,36.0,29.0,35.0,22.2,0.74,sizkorea,raw_test_data/F292,sizkorea_f292_front.jpg,sizkorea_f292_side.jpg,88.5,71.2,91.2,-2.8,-1.5,-7.0,10.3,0.707,1.23
sizkorea_f293,F,154.8,57.5,88.3,75.8,93.4,56.4,36.0,29.5,34.8,24.0,0.812,sizkorea,raw_test_data/F293,sizkorea_f293_front.jpg,sizkorea_f293_side.jpg,42.5,35.0,45.0,-45.8,-40.8,-48.4,8.7,0.802,1.237
sizkorea_f301,F,155.6,55.9,87.6,71.9,90.9,54.5,36.2,29.6,30.4,23.1,0.791,sizkorea,raw_test_data/F301,sizkorea_f301_front.jpg,sizkorea_f301_side.jpg,41.5,33.0,44.5,-46.1,-38.9,-46.4,8.2,0.81,1.21
sizkorea_f312,F,158.2,51.4,84.5,67.0,87.6,53.5,35.2,25.5,34.5,20.5,0.765,sizkorea,raw_test_data/F312,sizkorea_f312_front.jpg,sizkorea_f312_side.jpg,,,,,,,8.8,0.718,1.098
sizkorea_f313,F,172.6,63.5,88.7,76.5,99.4,59.6,33.3,27.7,34.7,21.3,0.77,sizkorea,raw_test_data/F313,sizkorea_f313_front.jpg,sizkorea_f313_side.jpg,87.2,70.5,93.8,-1.5,-6.0,-5.7,8.3,0.722,1.193
sizkorea_f317,F,156.0,55.1,88.0,73.0,94.7,54.6,34.1,27.2,35.5,22.6,0.771,sizkorea,raw_test_data/F317,sizkorea_f317_front.jpg,sizkorea_f317_side.jpg,83.0,68.8,89.5,-5.0,-4.2,-5.2,6.6,0.735,1.125
sizkorea_f319,F,163.7,55.7,88.2,72.3,90.5,49.8,31.8,25.7,33.6,20.8,0.799,sizkorea,raw_test_data/F319,sizkorea_f319_front.jpg,sizkorea_f319_side.jpg,84.0,66.2,90.0,-4.2,-6.0,-0.5,9.9,0.724,1.261
sizkorea_f342,F,155.1,56.9,89.5,74.2,94.0,55.0,36.8,30.2,33.0,23.7,0.789,sizkorea,raw_test_data/F342,sizkorea_f342_front.jpg,sizkorea_f342_side.jpg,81.0,73.3,88.2,-8.5,-0.9,-5.8,7.3,0.696,1.375
sizkorea_f343,F,162.5,62.8,91.9,79.2,94.6,57.6,36.7,30.7,34.6,23.8,0.837,sizkorea,raw_test_data/F343,sizkorea_f343_front.jpg,sizkorea_f343_side.jpg,91.0,76.5,95.5,-0.9,-2.7,0.9,6.4,0.738,1.226
sizkorea_f345,F,169.7,60.0,88.0,71.0,94.4,56.8,34.0,27.5,35.0,20.8,0.752,sizkorea,raw_test_data/F345,sizkorea_f345_front.jpg,sizkorea_f345_side.jpg,0.0,0.0,0.0,-88.0,-71.0,-94.4,9.2,0.839,1.251
sizkorea_f346,F,165.2,56.9,77.8,66.0,94.9,56.0,35.3,28.0,33.1,20.8,0.695,sizkorea,raw_test_data/F346,sizkorea_f346_front.jpg,sizkorea_f346_side.jpg,83.5,66.5,91.0,5.7,0.5,-3.9,11.0,0.714,1.263
sizkorea_f349,F,166.5,58.5,86.4,69.6,92.6,53.8,36.5,29.8,33.4,21.1,0.752,sizkorea,raw_test_data/F349,sizkorea_f349_front.jpg,sizkorea_f349_side.jpg,43.0,34.0,46.0,-43.4,-35.6,-46.6,9.0,0.754,1.25
sizkorea_f352,F,160.2,58.9,92.8,75.0,92.1,54.3,36.5,30.0,33.4,23.0,0.814,sizkorea,raw_test_data/F352,sizkorea_f352_front.jpg,sizkorea_f352_side.jpg,85.0,69.0,90.5,-7.8,-6.0,-1.6,7.2,0.7,1.244
sizkorea_f354,F,153.8,79.5,108.5,101.3,112.0,63.3,39.5,36.5,34.4,33.6,0.904,sizkorea,raw_test_data/F354,sizkorea_f354_front.jpg,sizkorea_f354_side.jpg,105.0,95.8,111.0,-3.5,-5.5,-1.0,6.1,0.742,1.323
sizkorea_f355,F,167.8,53.0,79.8,69.2,92.0,53.0,33.8,25.0,34.1,18.8,0.752,sizkorea,raw_test_data/F355,sizkorea_f355_front.jpg,sizkorea_f355_side.jpg,84.0,64.2,89.5,4.2,-5.0,-2.5,6.2,0.738,1.22
sizkorea_f357,F,164.2,55.1,81.5,67.9,89.6,56.0,35.1,27.9,35.0,20.4,0.758,sizkorea,raw_test_data/F357,sizkorea_f357_front.jpg,sizkorea_f357_side.jpg,84.5,67.6,90.7,3.0,-0.3,1.1,9.5,0.704,1.21
sizkorea_f364,F,161.7,59.5,85.5,73.7,95.4,55.4,35.7,29.5,34.6,22.8,0.773,sizkorea,raw_test_data/F364,sizkorea_f364_front.jpg,sizkorea_f364_side.jpg,86.5,70.0,92.0,1.0,-3.7,-3.4,8.7,0.688,1.227
sizkorea_f365,F,158.7,63.0,90.9,78.4,100.0,57.8,37.2,30.9,34.6,25.0,0.784,sizkorea,raw_test_data/F365,sizkorea_f365_front.jpg,sizkorea_f365_side.jpg,86.5,76.5,96.0,-4.4,-1.9,-4.0,8.4,0.741,1.267
sizkorea_f368,F,155.0,50.9,81.7,66.8,89.5,55.1,33.8,27.7,34.5,21.2,0.746,sizkorea,raw_test_data/F368,sizkorea_f368_front.jpg,sizkorea_f368_side.jpg,83.5,65.0,90.0,1.8,-1.8,0.5,6.1,0.679,1.296
sizkorea_f369,F,165.5,55.0,84.4,65.9,92.7,52.8,34.4,27.2,34.7,20.1,0.711,sizkorea,raw_test_data/F369,sizkorea_f369_front.jpg,sizkorea_f369_side.jpg,82.5,66.5,89.0,-1.9,0.6,-3.7,9.0,0.832,1.23
sizkorea_f374,F,160.9,54.1,82.5,68.6,94.8,53.5,32.7,26.5,34.5,20.9,0.724,sizkorea,raw_test_data/F374,sizkorea_f374_front.jpg,sizkorea_f374_side.jpg,42.0,32.5,44.0,-40.5,-36.1,-50.8,8.5,0.798,1.183
sizkorea_f376,F,166.1,70.1,97.0,83.5,98.5,57.8,36.8,32.3,38.1,25.4,0.848,sizkorea,raw_test_data/F376,sizkorea_f376_front.jpg,sizkorea_f376_side.jpg,47.5,43.0,50.0,-49.5,-40.5,-48.5,8.5,0.846,1.233
sizkorea_f385,F,160.5,64.7,93.7,78.6,99.1,59.0,37.5,30.4,34.0,25.1,0.793,sizkorea,raw_test_data/F385,sizkorea_f385_front.jpg,sizkorea_f385_side.jpg,93.5,78.5,100.5,-0.2,-0.1,1.4,7.8,0.626,1.28
sizkorea_f394,F,162.9,57.6,83.6,70.6,95.5,57.0,35.3,26.7,36.9,21.7,0.739,sizkorea,raw_test_data/F394,sizkorea_f394_front.jpg,sizkorea_f394_side.jpg,85.0,67.0,92.0,1.4,-3.6,-3.5,10.7,0.762,1.222
sizkorea_f396,F,159.1,53.6,84.3,71.4,88.2,51.8,34.8,27.4,34.2,21.2,0.81,sizkorea,raw_test_data/F396,sizkorea_f396_front.jpg,sizkorea_f396_side.jpg,85.8,69.0,92.0,1.5,-2.4,3.8,9.6,0.823,1.273
sizkorea_f398,F,155.4,52.1,88.4,71.0,89.6,53.6,33.2,27.7,35.5,21.6,0.792,sizkorea,raw_test_data/F398,sizkorea_f398_front.jpg,sizkorea_f398_side.jpg,83.0,66.0,88.0,-5.4,-5.0,-1.6,9.7,0.803,1.211
sizkorea_f405,F,158.2,54.5,89.0,68.7,94.6,57.4,33.5,27.8,33.8,21.8,0.726,sizkorea,raw_test_data/F405,sizkorea_f405_front.jpg,sizkorea_f405_side.jpg,85.0,66.0,91.0,-4.0,-2.7,-3.6,6.5,0.646,1.299
sizkorea_f408,F,163.1,56.3,85.3,71.0,95.2,51.0,33.3,29.0,34.5,21.2,0.746,sizkorea,raw_test_data/F408,sizkorea_f408_front.jpg,sizkorea_f408_side.jpg,86.2,69.5,91.0,1.0,-1.5,-4.2,9.3,0.672,1.237
sizkorea_m012,M,177.9,78.4,92.3,82.1,100.4,60.9,39.5,32.4,38.6,24.8,0.818,sizkorea,raw_test_data/M012,sizkorea_m012_front.jpg,sizkorea_m012_side.jpg,93.5,82.6,95.0,1.2,0.5,-5.4,5.8,0.686,1.194
sizkorea_m018,M,174.6,68.7,84.1,79.7,95.8,58.1,37.7,30.3,39.4,22.5,0.832,sizkorea,raw_test_data/M018,sizkorea_m018_front.jpg,sizkorea_m018_side.jpg,93.0,78.0,93.5,8.9,-1.7,-2.3,8.4,0.763,1.134
sizkorea_m019,M,165.9,65.4,91.1,82.2,90.6,50.1,35.0,30.8,38.9,23.8,0.907,sizkorea,raw_test_data/M019,sizkorea_m019_front.jpg,sizkorea_m019_side.jpg,46.0,42.5,47.5,-45.1,-39.7,-43.1,7.7,0.755,1.209
sizkorea_m021,M,169.3,56.4,85.6,82.7,87.3,45.8,33.9,26.7,37.6,19.7,0.947,sizkorea,raw_test_data/M021,sizkorea_m021_front.jpg,sizkorea_m021_side.jpg,89.6,76.2,89.2,4.0,-6.5,1.9,10.4,0.765,1.146
sizkorea_m023,M,172.8,56.3,83.0,70.1,86.6,47.0,34.8,26.9,37.1,18.9,0.809,sizkorea,raw_test_data/M023,sizkorea_m023_front.jpg,sizkorea_m023_side.jpg,87.8,73.5,89.8,4.8,3.4,3.2,8.4,0.693,1.224
sizkorea_m025,M,165.8,85.5,98.3,98.2,104.6,65.7,42.1,36.2,40.4,31.1,0.939,sizkorea,raw_test_data/M025,sizkorea_m025_front.jpg,sizkorea_m025_side.jpg,99.0,103.0,105.5,0.7,4.8,0.9,7.6,0.689,1.231
sizkorea_m030,M,170.8,76.9,96.1,82.6,99.0,93.7,39.0,35.3,41.9,26.4,0.834,sizkorea,raw_test_data/M030,sizkorea_m030_front.jpg,sizkorea_m030_side.jpg,96.0,85.0,98.0,-0.1,2.4,-1.0,6.4,0.662,1.33
sizkorea_m034,M,165.0,73.1,94.5,84.0,97.5,59.2,39.0,35.3,43.4,26.9,0.862,sizkorea,raw_test_data/M034,sizkorea_m034_front.jpg,sizkorea_m034_side.jpg,93.0,84.0,98.0,-1.5,0.0,0.5,10.3,0.708,1.206
sizkorea_m035,M,166.0,46.6,78.8,65.6,84.0,46.0,33.2,23.5,34.4,16.9,0.781,sizkorea,raw_test_data/M035,sizkorea_m035_front.jpg,sizkorea_m035_side.jpg,80.0,66.0,82.5,1.2,0.4,-1.5,11.6,0.749,1.167
sizkorea_m036,M,166.2,53.6,85.2,71.0,84.7,48.0,33.9,26.0,38.3,19.4,0.838,sizkorea,raw_test_data/M036,sizkorea_m036_front.jpg,sizkorea_m036_side.jpg,86.5,73.0,86.0,1.3,2.0,1.3,11.3,0.669,1.243
sizkorea_m043,M,180.9,57.3,80.6,68.9,85.0,50.0,33.0,26.3,39.5,17.5,0.811,sizkorea,raw_test_data/M043,sizkorea_m043_front.jpg,sizkorea_m043_side.jpg,85.0,68.0,85.0,4.4,-0.9,0.0,15.8,0.724,1.247
sizkorea_m044,M,170.0,58.1,83.8,71.5,88.0,50.2,36.0,29.2,39.2,20.1,0.812,sizkorea,raw_test_data/M044,sizkorea_m044_front.jpg,sizkorea_m044_side.jpg,88.5,75.0,88.0,4.7,3.5,0.0,5.4,0.704,1.168
sizkorea_m046,M,160.4,69.6,95.6,87.5,97.6,58.2,38.4,32.9,37.4,27.1,0.897,sizkorea,raw_test_data/M046,sizkorea_m046_front.jpg,sizkorea_m046_side.jpg,97.0,90.5,100.0,1.4,3.0,2.4,8.6,0.686,1.266
sizkorea_m050,M,165.7,59.7,87.6,74.1,89.1,53.7,35.9,31.7,39.6,21.7,0.832,sizkorea,raw_test_data/M050,sizkorea_m050_front.jpg,sizkorea_m050_side.jpg,86.8,75.5,89.5,-0.8,1.4,0.4,6.2,0.725,1.149
sizkorea_m057,M,169.0,75.0,97.0,80.3,98.0,57.9,39.5,34.3,40.7,26.3,0.819,sizkorea,raw_test_data/M057,sizkorea_m057_front.jpg,sizkorea_m057_side.jpg,95.5,85.5,98.5,-1.5,5.2,0.5,9.2,0.675,1.309
sizkorea_m058,M,174.5,75.0,95.2,83.9,97.5,58.0,40.6,33.0,39.7,24.6,0.861,sizkorea,raw_test_data/M058,sizkorea_m058_front.jpg,sizkorea_m058_side.jpg,98.2,84.5,99.0,3.0,0.6,1.5,10.4,0.765,1.237
sizkorea_m060,M,169.0,65.2,88.7,78.0,94.0,57.0,38.4,30.6,39.9,22.8,0.83,sizkorea,raw_test_data/M060,sizkorea_m060_front.jpg,sizkorea_m060_side.jpg,90.0,75.0,91.5,1.3,-3.0,-2.5,9.3,0.822,1.354
